번호,씬이름,변신폼
0,KJS_LDJ_Tutorial 1,0
1,KJS_LDJ_Tutorial 1,0
2,KJS_LDJ_Tutorial 1,0
3,KJS_LDJ_Tutorial 1,1
4,KJS_A_1-1 1,0
5,KJS_A_1-1 1,0
6,KJS_A_1-1 1,0
7,KJS_A_1-1 1,0
8,KJS_A_1-1 1,0
9,KJS_A_1-2 1,0
10,KJS_A_1-2 1,0
11,KJS_A_1-2 1,0
12,KJS_A_1-2 1,0
13,KJS_A_1-2 1,0
14,KJS_A_1-2 1,0
15,KJS_ldj_Remote 1,1
16,KJS_ldj_Remote 1,1
17,KJS_ldj_Remote 1,1
18,KJS_ldj_Remote 1,1
19,KJS_ldj_Remote 1,1
20,KJS_ldj_AGY_Mouse 1,3
21,KJS_ldj_AGY_Mouse 1,3
22,KJS_ldj_AGY_Mouse 1,3
23,KJS_ldj_AGY_Mouse 1,3
24,KJS_ldj_AGY_Mouse 1,3
25,KJS_JYH_Iron_1009 1,2
26,KJS_JYH_Iron_1009 1,2
27,KJS_JYH_Iron_1009 1,2
28,KJS_ldj_Boss 1,0
29,KJS_ldj_Boss 1,0
