번호,씬이름,변신폼
0,LDJ_Tutorial 1,0
1,LDJ_Tutorial 1,0
2,LDJ_Tutorial 1,0
3,LDJ_Tutorial 1,0
4,A_1-1 1,0
5,A_1-1 1,0
6,A_1-1 1,0
7,A_1-1 1,0
8,A_1-1 1,0
9,A_1-2 1,1
10,A_1-2 1,1
11,A_1-2 1,1
12,A_1-2 1,1
13,A_1-2 1,1
14,A_1-2 1,1
15,ldj_Remote 1,1
16,ldj_Remote 1,1
17,ldj_Remote 1,1
18,ldj_Remote 1,1
19,ldj_Remote 1,1
20,ldj_AGY_Mouse 1,3
21,ldj_AGY_Mouse 1,3
22,ldj_AGY_Mouse 1,3
23,ldj_AGY_Mouse 1,3
24,ldj_AGY_Mouse 1,3
25,JYH_Iron_1009 1,2
26,JYH_Iron_1009 1,2
27,JYH_Iron_1009 1,2
28,ldj_Boss 1,0
29,ldj_Boss 1,0
