인덱스,대사,캐릭터 표정,튜토리얼 이미지,영문 대사
0,반가워요! |저는 빳따빳따 모험을 떠나게 된 밧데리 용사 베타입니다!,기본,없음,Hello! I'm Beta | I'm a battery warrior who went on an adventure!
1,스텔라 공주님이 치사한 악당들에게 납치되었어요!|자 이제 공주님을 구하기 위한 여정을 떠나볼까요?,화남,없음,Princess Stella has been kidnapped by villains! Shall we go on a journey to save the princess?
2,우선 여정을 떠나기 위해 몇 가지 기본적인 조작법을 배워야겠죠?,기본,없음,"Now, we need to learn some basic manipulations."
3,처음으로 이동에 대한 조작법을 알려드릴게요.|키보드의 방향키를 이용하면 제가 이동할 수 있어요!,의문,있음,"First, I'll show you how to move. The direction keys on the keyboard allow me to move around!"
4,그럼 다음 조작법을 배우기 위해 다음 장소로 가볼까요?,신남,없음,let's go to the next place to learn another operation keys!
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
18,앗! 앞에 높은 지형이 가로막고 있어서 이동을 할 수가 없어요...,화남,없음,Oh! I can't move because the high terrain is blocking me.
19,어떻게 해야 이 지형을 넘어갈 수 있을까요?,의문,없음,How can I get over this terrain?
20,아하~ 점프를 하면 되겠구나!|점프 조작키는 Z키를 누르면 점프를 할 수 있어요. ,신남,있음,"Oh, I can jump! I can jump by pressing the Z key."
21,Z키를 여러번 눌렀을 때 2단 점프까지 가능하답니다!,신남,없음,"If you press the Z key 2 times, I can jump up twice!"
22,점프 동작을 이용하여 다음 구간으로 넘어가볼까요?,신남,없음,Shall we jump and move on to the next place?
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
38,이번에는 내려가기 조작키에 대한 설명입니다.,기본,없음,"Now, let's learn how to move downward."
39,지금처럼 아래로 가야하지만 뚫린 길이 없을 때는 어떻게 지나갈 수 있을까요?,의문,없음,What should we do when we need to go downward like this but there's no way?
40,그건 바로 아래 방향키와 Z키를 동시에 눌러주면 지금 서있는 판자를 통과하여 아래로 갈 수 있답니다!,신남,있음,I can go down by pressing the down arrow key and the Z key at the same time!
41,이제 내려가서 다음 구간으로 넘어가볼까요?,신남,없음,Shall we go down and move on to the next place?
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
58,아닛?! 저기 공주님을 납치했던 악당이 길을 막고 있어요!,화남,없음,The villain who kidnapped the princess is blocking the road!
