인덱스,대사,캐릭터 표정,튜토리얼 이미지
0,반가워요! 빳따빳따 모험을 떠나게 된 밧데리 용사 베타임다!,기본,없음
1,왕국의 스텔라 브릭폰 공주님께서 더럽고 치사한 악당놈들에게 납치되었어요! 그래서 우리는 공주님을 구출하기 위한 여정을 떠나게 되었습니다!,화남,없음
2,하지만 여정을 떠나기 위해서는 우선적으로 몇 가지 기본적인 조작법을 배워야겠죠?,기본,없음
3,기본적인 조작법 중 첫 번째로! 이동에 대한 조작법을 알려드릴게요. 정말 간단하게 키보드의 방향키를 이용하면 제가 이동할 수 있도록 저의 파트너께서 도와주실 수 있어요!,의문,이동
4,이동에 대해서는 더 알려드릴 게 없네요! 그렇다면 다음 조작법을 배우기 위해 다음 장소로 가볼까요?,신남,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
18,앗! 앞에 높은 지형이 가로막고 있어서 이동을 할 수가 없어요... 이런 젠장! 이동이 불가능하니 화가 나네요!,화남,없음
19,어떻게 해야 이 지형을 넘어갈 수 있을까요?,의문,없음
20,아하~ 점프를 하면 되겠구나! 점프 조작키는 Z키를 누르면 점프 동작을 할 수 있어요! Z키를 여러 번 눌렀을 때 최대 2회까지 점프가 가능하답니다~,신남,점프
21,점프 동작을 이용하여 다음 튜토리얼 구간으로 넘어가볼까요?,신남,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
38,이번에는 내려가기 조작키에 대한 설명입니다.,기본,없음
39,지금처럼 아래 통로로 가야하지만 뚫린 길이 없는 상황일 때 어떻게 지나갈 수 있을까요?,의문,없음
40,그건 바로 키보드의 아래 방향키를 누른 상태에서 점프 키였던 Z키를 눌러주면 지금 서있는 플랫폼을 통과하여 아래로 갈 수 있답니다!,신남,내려가기
41,이제 아래로 내려가서 다음 조작키를 습득하러 가볼까요?,신남,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
58,"앗, 저기 공주님을 납치했던 더러운 녀석의 졸병이 알짱거리고 있어요! 저 지금 화를 주체할 수가 없답니다!",화남,없음
59,이번에 얻을 조작키는 왠지 저 더러운 졸병 녀석을 처치할 수 있는 조작키를 얻을 것 같지 않나요!?,화남,없음
60,역시! X키를 누르면 공격을 할 수가 있습니다.,화남,공격
61,어서 공격키를 활용하여 저 치사하고 더러운 졸병 녀석을 처리해봐요! 난 이제 못참아!,화남,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
78,후... 졸병 녀석을 두드려 패니깐 속이 시원하네요~,신남,없음
79,응? 이번에는 앞에 사다리가 높이 솟아올라있네요?,의문,없음
80,진로를 방해하는 이번 지형은 엄청 높이 솟아올라서 2단 점프로도 지나갈 수 없으니 사다리를 이용하라는 것 같네요. 그렇다면 사다리를 이용하는 조작키를 이번에 얻을 수 있겠네요!,기본,없음
81,"사다리와 같은 플랫폼을 이용할 때에는 상호작용을 하라는 UI가 나온답니다~ 이 때 F키를 누르면, 해당 플랫폼에 맞는 상호작용이 가능해요!",신남,상호작용
82,이제 사다리 오브젝트와 상호작용을 해서 높은 지형을 지나가볼까요?,신남,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
98,사다리 플랫폼을 이용하여 올라왔더니 또 다시 아래로 향하는 통로가 있네요?,의문,없음
99,그런데 이번 지형물은 내려가기 조작키를 이용하여 내려갈 수가 없습니다…. 어떻게 해야 이 지형물을 지나갈 수 있을까요? 보니깐 지형물이 나무판자와 같이 생겨서 뭔가 부술 수 있을 것 같지 않나요?,의문,없음
100,아하! 공중에서 엉덩방아를 찧어서 지형물을 파괴할 수가 있다고 하네요! 이번 조작키는 점프(Z)키를 누른 뒤에 공중에 머무르고 있는 도중에 공격(X)키를 눌러주면 내려찍기 동작을 합니다~,신남,내려찍기
101,그러면 이제 내려찍기 조작키를 이용하여 부서지는 플랫폼을 없애고 다음 조작키를 획득하러 가볼까요?,기본,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
118,"아, 이번에도 진로를 방해하는 지형물이 앞을 가로막고 있네요?",의문,없음
119,에…. 그런데 이번 지형은 2단 점프로도 갈 수가 없고 사다리같은 플랫폼도 존재하지않아서 올라갈 수도 없....네요?,의문,없음
120,아니 대체 어떻게 지나가란 말이야! ,화남,없음
121,그러면 이번에 얻게 될 조작키는 2단 점프와 상호작용 플랫폼을 사용하지 않고 넘어갈 수 있는 조작키를 배울 수 있을 것 같습니다?,의문,없음
122,오! 키보드의 Space bar키를 누르면 카메라의 시점이 전환되어 2D시점과 3D시점을 오고갈 수 있다고 하네요!? 짱 신기해!,신남,시점전환
123,이번 시점전환 조작키를 얻게되면서 기본적인 튜토리얼은 끝났습니다! 이제 저 베타와 함께 공주님을 구하기 위한 여정을 시작해볼까요~!,신남,시점전환
