인덱스,대사,캐릭터 표정,튜토리얼 이미지
0,반가워요! 저는 빳따빳따 모험을 떠나게 된 밧데리 용사 베타입니다!,기본,없음
1,스텔라 공주님이 치사한 악당들에게 납치되었어요! 자 이제 공주님을 구하기 위한 여정을 떠나볼까요?,화남,없음
2,우선 여정을 떠나기 위해 몇 가지 기본적인 조작법을 배워야겠죠?,기본,없음
3,처음으로 이동에 대한 조작법을 알려드릴게요. 키보드의 방향키를 이용하면 제가 이동할 수 있어요!,의문,있음
4,이동에 대해서는 더 알려드릴 게 없네요! 그렇다면 다음 조작법을 배우기 위해 다음 장소로 가볼까요?,신남,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
18,앗! 앞에 높은 지형이 가로막고 있어서 이동을 할 수가 없어요...,화남,없음
19,어떻게 해야 이 지형을 넘어갈 수 있을까요?,의문,없음
20,아하~ 점프를 하면 되겠구나! 점프 조작키는 Z키를 누르면 점프를 할 수 있어요. ,신남,있음
21,Z키를 여러번 눌렀을 때 2단 점프까지 가능하답니다!,신남,없음
22,점프 동작을 이용하여 다음 구간으로 넘어가볼까요?,신남,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
38,이번에는 내려가기 조작키에 대한 설명입니다.,기본,없음
39,지금처럼 아래로 가야하지만 뚫린 길이 없을 때는 어떻게 지나갈 수 있을까요?,의문,없음
40,그건 바로 아래 방향키와 Z키를 동시에 눌러주면 지금 서있는 판자를 통과하여 아래로 갈 수 있답니다!,신남,있음
41,이제 내려가서 다음 구간으로 넘어가볼까요?,신남,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
58,아닛?! 저기 공주님을 납치했던 악당이 길을 막고 있어요!,화남,없음
59,왠지 저 악당 녀석을 공격할 수 있는 방법이 있을 것 같지 않나요?,화남,없음
60,역시! X 키를 누르면 적을 공격하고 처치할 수 있습니다.,화남,있음
61,어서 공격 키를 활용하여 악당 녀석을 처치해 봐요! 으으 난 이제 못 참아!,화남,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
78,공주님을 납치한 악당 녀석을 처치하니 속이 시원하네요~,신남,없음
79,응? 이번에는 앞에 사다리가 놓여있네요?,의문,없음
80,앞을 막고있는 지형은 너무 높아서 2단 점프로는 지나갈 수 없으니 사다리를 이용해야 할 것 같아요!,기본,없음
81,사다리와 같은 상호작용 구간에서 F키를 누르면 해당 구간에 맞는 상호작용이 가능해요!,신남,있음
82,이제 F 키를 눌러 사다리로 높은 지형을 올라가 볼까요?,신남,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
98,사다리로 올라왔더니 또 다시 아래로 향하는 통로가 있네요?,의문,없음
99,이번에는 내려가기 조작키를 이용해도 내려갈 수가 없어요... 어떻게 해야 이 지형물을 지나갈 수 있을까요?,의문,없음
100,아하! 지형물을 파괴할 수 있을 것 같아요! 이번에는 점프(Z)키를 누른 뒤 공중에서 공격(X)키를 눌러주면 판자를 파괴할 수 있답니다!,신남,있음
101,그럼 판자를 파괴하고 다음 구간으로 넘어가볼까요?,기본,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
118,아! 이번에는 벽이 앞을 가로막고 있네요?,의문,없음
119,에... 2단 점프로는 너무 높아 갈 수 없고 사다리도 존재하지 않아서 올라갈 수도 없어요.,의문,없음
120,아니! 대체 어떻게 지나가야 하는 거야!,화남,없음
121,앞에서 배운 조작키 말고 지나갈 수 있는 방법이 있을 것 같지 않나요?,의문,없음
122,오! Spacebar 키를 누르면 카메라의 시점이 전환되어 2D시점과 3D시점을 자유롭게 오고갈 수 있어요!,신남,있음
123,이제부터 2D / 3D 시점 전환이 필요한 상황이 오면 자유롭게 Spacebar를 사용해 난관을 헤쳐나가봐요!,신남,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
138,"아! 그리고 깜빡한 게 있는데, 처음에 보였던 가로등의 용도가 궁금하지 않으셨나요?",의문,없음
139,바로바로~ 게임을 진행하면서 얻었던 데이터들을 저장할 수 있도록 마련된 체크포인트랍니다!,신남,없음
140,체크포인트는 앞으로도 중간중간 게임 진행이 날아가지 않도록 보호해주니까 안심하고 계속 모험을 할 수 있어요!,신남,없음
141,자! 이제 기본적인 가이드는 끝났답니다! 이제 저 베타와 함께 공주님을 구하러 모험을 떠나볼까요?,신남,없음
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
158,앗! 앞에 아이템 같은 오브젝트가 있네요?,기본,없음
159,앞으로 저와 파트너가 계속 나아가다보면 앞에 보이는 것처럼 아이템을 획득할 수 있어요! 그리고 아이템은 종류가 있답니다.,신남,없음
160,아이템의 종류에는 체력을 회복시켜주는 아이템이 있고 이동속도를 올려주는 아이템 그리고 최대체력을 증가시켜주는 아이템이 존재해요! 해당 아이템들을 획득하면 저 베타가 엄청 강해지겠죠?!,신남,없음
161,아! 하나 알려드릴 게 있는데 앞에있는 아이템은 체력회복을 시켜주지만 체력이 가득 채워진 경우에는 획득할 수 없어요~ 아이템에 대한 설명도 간단히 했으니 다음 장소로 이동하죠!,기본,없음
